,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
636,2012,252450,StarDrive 2,1.0,Iceberg Interactive,windows,Indie;Strategy,833.0,833.0,0.05,22.99,0.5605797101449276,4.0,2015.0,1.7242499999999998,2015,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
637,2013,252470,Space Pirates And Zombies 2,1.0,MinMax Games Ltd.,windows,Action;Adventure;Indie;RPG;Simulation;Strategy,1244.0,1244.0,0.1,14.99,0.7923003802281369,11.0,2017.0,2.2485,2017,11,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0
638,2014,252490,Rust,1.0,Facepunch Studios,windows,Action;Adventure;Indie;Massively Multiplayer;RPG,9352.0,2234.0,5.0,27.79,0.8040382517449348,2.0,2018.0,208.425,2018,2,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
639,2015,252530,OMSI 2: Steam Edition,1.0,Aerosoft GmbH,windows,Casual;Simulation,7999.0,7999.0,0.1,27.11,0.771875,12.0,2013.0,4.0665,2013,12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
640,2016,252550,Qbeh-1: The Atlas Cube,1.0,Digital Tribe,windows,Adventure;Casual;Indie,0.0,0.0,0.02,7.19,0.8848797250859106,5.0,2014.0,0.25165,2014,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
641,2017,252570,Depths of Fear :: Knossos,1.0,Digital Tribe,windows,Action;Adventure;Indie,0.0,0.0,0.02,4.79,0.6482412060301508,4.0,2014.0,0.16765,2014,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
642,2021,252690,Fantasy Grounds,1.0,"SmiteWorks USA, LLC",windows,Indie;RPG;Strategy,43074.0,86148.0,0.02,29.99,0.790356394129979,5.0,2014.0,1.04965,2014,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
643,2022,252710,The Last Express Gold Edition,1.0,DotEmu,windows,Adventure,1.0,1.0,0.02,4.99,0.82,11.0,2013.0,0.17465,2013,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
644,2024,252750,MouseCraft,1.0,Crunching Koalas,windows,Action;Adventure;Casual;Indie;Strategy,0.0,0.0,0.02,6.99,0.8936170212765957,7.0,2014.0,0.24465,2014,7,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
645,2026,252870,PULSAR: Lost Colony,1.0,Leafy Games,windows,Action;Adventure;Indie;Simulation;Early Access,1159.0,1446.0,0.1,19.49,0.9036801453884598,9.0,2015.0,2.9234999999999993,2015,9,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
646,2029,252950,Rocket League®,1.0,"Psyonix, Inc.",windows,Action;Indie;Racing;Sports,5825.0,1462.0,5.0,14.99,0.9174814753174444,7.0,2015.0,112.425,2015,7,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
648,2032,253110,The Cat Lady,1.0,Screen 7,windows,Adventure;Indie,229.0,229.0,0.1,7.19,0.9333694474539544,12.0,2013.0,1.0785,2013,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
649,2034,253230,A Hat in Time,1.0,Gears for Breakfast,windows,Adventure;Indie,377.0,376.0,0.2,22.99,0.9795961148766684,10.0,2017.0,8.046499999999998,2017,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
650,2035,253250,Stonehearth,1.0,(none),windows,Indie;Simulation;Strategy,644.0,1259.0,0.2,15.49,0.7530527223100129,7.0,2018.0,5.4215,2018,7,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
651,2036,253290,FOTONICA,1.0,Santa Ragione,windows,Action;Indie,432.0,432.0,0.05,10.99,0.8794117647058823,11.0,2014.0,0.82425,2014,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
653,2041,253410,Ravensword: Shadowlands,1.0,Crescent Moon Games,windows,Action;Adventure;Indie;RPG,0.0,0.0,0.1,4.99,0.4835886214442013,12.0,2013.0,0.7485,2013,12,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
654,2042,253430,CastleMiner Z,1.0,DigitalDNA Games LLC,windows,Violent;Action;Adventure;Indie,192.0,263.0,0.2,2.79,0.7097796798224758,2.0,2014.0,0.9765,2014,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
655,2043,253490,CABAL Online,1.0,ESTsoft Inc.,windows,Action;Free to Play;Massively Multiplayer;RPG,3.0,3.0,0.2,0.0,0.6411917098445595,2.0,2016.0,0.0,2016,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
