,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
16882,745560,Overclocked,Magnesium Ninja,Action;Free to Play;Indie,9.903487552536127,0.0,0.0,209,0.9234449760765551,83.11191158032535,2018,10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Free
16889,745740,Reflex,Game for people,Action;Casual;Indie,9.903487552536127,1.0,10.463131911491967,351,0.8262108262108262,75.55017507411988,2017,11,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Premium
16891,745760,Perceptions of the Dead,Ithaqua Labs,Adventure;Casual;Free to Play;Indie,10.819778284410283,0.0,0.0,285,0.9298245614035088,84.51152479405718,2017,10,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Free
16911,746140,The Walking Zombie: Dead City,Alda Games,Action;Casual,9.903487552536127,3.0,11.561725152903833,292,0.7191780821917808,65.41343731300262,2018,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,Premium
16917,746350,Air Combat Arena,Sky Coder,Action;Casual;Indie,9.903487552536127,1.0,10.463131911491967,50,0.56,47.42709149649983,2017,11,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,Premium
16928,746580,HARDCORE MECHA,RocketPunch Games,Action;Indie,10.819778284410283,19.5,14.195658541848598,1729,0.8178137651821862,77.44751114672187,2019,6,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Premium
16932,746710,Cypher,Matthew Brown,Indie,9.903487552536127,5.0,12.07254696717504,262,0.9351145038167938,84.7745873177888,2018,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Premium
16934,746770,Bunny Mania 2,FeelThere,Casual;Indie;Strategy,9.903487552536127,5.0,12.07254696717504,3,1.0,67.0593709993672,2017,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Premium
16940,746910,Chicken Farm 2K17,Jakal Studios,Casual;Free to Play;Indie;Simulation;Strategy,10.819778284410283,0.0,0.0,234,0.7264957264957265,65.6279009504203,2017,12,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,Free
16941,746920,Rapid Tap,Wolfborg Games,Casual;Free to Play;Indie,9.903487552536127,0.0,0.0,345,0.9101449275362319,83.1848402006219,2018,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Free
16942,746930,OrbusVR: Reborn,"Orbus Online, LLC",Indie;Massively Multiplayer;RPG,9.903487552536127,39.5,14.139404735705671,983,0.7955239064089522,74.55616621725567,2019,4,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,Premium
16952,747200,Keplerth,TARO,Adventure;Casual;Indie;RPG;Simulation;Early Access,9.903487552536127,13.5,13.065795142315812,370,0.8648648648648649,79.20098180294359,2018,4,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,Premium
